,City Name,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
0,Puerto Limón,CR,10.0,-83.03,79.16,80,100,1.99,1594871199
1,Castro,BR,-24.79,-50.01,49.23,91,61,8.72,1594871250
2,Nabire,ID,-3.37,135.48,84.79,69,20,4.7,1594871280
3,Ushuaia,AR,-54.8,-68.3,28.4,86,40,3.36,1594871066
4,Mehamn,NO,71.04,27.85,51.8,87,72,3.36,1594871080
5,Hermanus,ZA,-34.42,19.23,45.0,82,0,4.0,1594871141
6,Karpogory,RU,64.0,44.45,53.85,72,80,10.94,1594871280
7,Cooma,AU,-36.23,149.13,42.8,93,90,18.34,1594871266
8,Rikitea,PF,-23.12,-134.97,73.99,86,100,6.85,1594871229
9,Jamestown,US,42.1,-79.24,72.0,64,1,4.7,1594871065
10,Habiganj,BD,24.38,91.42,89.6,70,40,3.36,1594871280
11,Amarante do Maranhão,BR,-5.57,-46.74,71.92,72,0,1.95,1594871280
12,Busselton,AU,-33.65,115.33,64.99,78,22,25.68,1594871226
13,Sitka,US,57.05,-135.33,57.2,87,90,4.7,1594871141
14,Guaitarilla,CO,1.14,-77.55,48.74,86,98,8.32,1594871280
15,Jackson,US,42.42,-122.83,89.6,24,1,12.75,1594871220
16,Vaini,TO,-21.2,-175.2,77.0,78,75,6.93,1594871230
17,Bilibino,RU,68.05,166.44,48.76,89,100,3.76,1594871088
18,Bethel,US,41.37,-73.41,68.0,88,90,4.79,1594871117
19,Lleida,ES,41.62,0.62,62.01,72,4,4.7,1594871281
20,Mataura,NZ,-46.19,168.86,44.62,79,21,2.8,1594871142
21,Buin,CL,-33.73,-70.75,48.2,93,0,4.7,1594871281
22,Avarua,CK,-21.21,-159.78,71.6,64,95,5.82,1594871250
23,Belyy Yar,RU,53.6,91.39,62.6,55,75,6.71,1594871281
24,Tomohon,ID,1.33,124.84,87.8,66,20,4.7,1594871281
25,Atuona,PF,-9.8,-139.03,79.75,76,1,16.62,1594871227
26,San Andrés,CO,12.58,-81.7,82.4,88,40,8.05,1594871282
27,Hilo,US,19.73,-155.09,82.4,61,40,6.93,1594871047
28,Lamar,US,33.67,-95.58,84.99,74,1,6.93,1594871282
29,Upernavik,GL,72.79,-56.15,41.85,89,44,1.28,1594871236
30,Tautira,PF,-17.73,-149.15,78.8,83,75,5.82,1594871084
31,Puerto Ayora,EC,-0.74,-90.35,66.0,90,96,1.01,1594871233
32,Lorengau,PG,-2.02,147.27,85.69,62,0,6.98,1594871243
33,Noumea,NC,-22.28,166.46,75.2,41,0,11.41,1594871271
34,Vilhena,BR,-12.74,-60.15,69.31,51,0,2.91,1594871282
35,Morros,BR,-9.45,-46.3,71.83,52,0,5.08,1594871282
36,Fortuna,US,40.6,-124.16,59.0,82,1,8.05,1594871058
37,Nicoya,CR,10.15,-85.45,73.8,91,100,1.59,1594871102
38,Nacala,MZ,-14.54,40.67,70.5,75,11,15.48,1594871283
39,Dubbo,AU,-32.25,148.62,57.2,54,40,12.75,1594871283
40,Talnakh,RU,69.49,88.4,50.0,87,90,11.18,1594871276
41,Tasiilaq,GL,65.61,-37.64,44.6,70,0,4.7,1594871232
42,Puerto Escondido,MX,15.85,-97.07,80.33,77,30,3.98,1594871283
43,Bereket,TM,39.24,55.52,84.29,55,2,17.56,1594871071
44,College,US,64.86,-147.8,68.0,59,75,5.82,1594871053
45,Lebu,CL,-37.62,-73.65,51.03,90,100,5.88,1594871248
46,Leshukonskoye,RU,64.9,45.76,53.06,66,99,9.82,1594871283
47,George Town,MY,5.41,100.34,89.6,79,20,2.24,1594871234
48,Honiara,SB,-9.43,159.95,91.4,63,40,8.05,1594871284
49,Chimbote,PE,-9.09,-78.58,61.38,87,91,7.9,1594871284
50,Geraldton,AU,-28.77,114.6,62.6,93,75,9.17,1594871184
51,Caramoran,PH,13.98,124.13,88.5,63,13,3.62,1594871284
52,Touros,BR,-5.2,-35.46,71.6,100,40,3.36,1594871235
53,Tuktoyaktuk,CA,69.45,-133.04,57.2,62,75,8.05,1594870704
54,Nanortalik,GL,60.14,-45.24,42.37,88,5,7.11,1594871252
55,Albany,US,42.6,-73.97,73.0,85,67,7.61,1594871113
56,New Norfolk,AU,-42.78,147.06,53.01,84,98,0.58,1594871238
57,Ayan,RU,56.45,138.17,57.58,87,73,11.32,1594871273
58,Kambi,GR,39.22,20.9,68.0,94,20,3.33,1594871284
59,Ayagoz,KZ,47.97,80.44,77.81,45,0,14.43,1594871099
60,Teeswater,CA,44.0,-81.29,73.99,81,99,11.3,1594871285
61,Bogotol,RU,56.21,89.53,64.35,61,36,5.44,1594871285
62,San Jerónimo,PE,-11.95,-75.28,47.97,70,62,2.44,1594871285
63,Igrim,RU,63.19,64.42,62.4,65,66,7.36,1594871257
64,Dwārka,IN,22.24,68.97,84.54,83,97,9.19,1594871265
65,Vágur,FO,61.47,-6.81,52.65,97,100,20.62,1594871285
66,Khandyga,RU,62.67,135.6,80.94,29,8,5.55,1594871102
67,Port Lincoln,AU,-34.73,135.87,58.24,72,1,8.48,1594871248
68,Mozarlândia,BR,-14.74,-50.57,71.91,28,34,8.93,1594871285
69,Ponta do Sol,PT,32.67,-17.1,68.0,68,40,11.41,1594871249
70,Punta Arenas,CL,-53.15,-70.92,32.0,95,7,3.18,1594871228
71,Narsaq,GL,60.92,-46.05,48.2,70,0,5.82,1594871082
72,Bredasdorp,ZA,-34.53,20.04,39.2,93,0,8.05,1594871237
73,Shaowu,CN,27.34,117.48,93.97,50,100,4.74,1594871286
74,Labuan,MY,5.28,115.24,87.8,79,20,2.24,1594871286
75,Paralímni,CY,35.04,33.98,79.0,83,0,5.82,1594871286
76,Thompson,CA,55.74,-97.86,59.0,100,75,8.05,1594871071
77,Svetlaya,RU,46.54,138.33,67.14,73,11,10.65,1594871286
78,Provideniya,RU,64.38,-173.3,50.0,81,75,11.18,1594871237
79,Tiksi,RU,71.69,128.87,36.57,83,66,20.09,1594871073
80,Kenai,US,60.55,-151.26,73.4,67,1,10.29,1594871275
81,Saint-Augustin,CA,51.23,-58.65,49.98,77,0,3.02,1594871286
